"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_ecnt1","ec_ecnt2","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","ec_dil3","ec_ecnt3","tc_ecnt3","dis_com","weight","lat_other","col_UID"
"SCB2031",2031,"5/6/2016","1/0/1900","56-29","",2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",2,4,998,999,998,0,0,0,"Sumeya/Anabela","J/Mario Amos",0,6,44,0,,,"","08_08_1068"
"SCB2032",2032,"5/31/2016","1/0/1900","101-29","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",2,4,998,25,998,999,0,0,"Anabela/Sumeya","Mario Amos/Laurinda",0,6,2,2,,45.18,"","08_08_1069"
"SCB2034",2034,"5/13/2016","1/0/1900","72-29","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",2,4,998,30,998,999,,,"Sumeya/Anabela","Salma/J",0,6,3,22,,38.62,"","08_08_1070"
"SCB2035",2035,"5/12/2016","1/0/1900","69-29","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",2,4,54,11,999,999,,,"Sumeya/Anabela","Laurinda/j",0,6,0,120,,48.91,"","08_08_1071"
"SCB2036",2036,"5/18/2016","1/0/1900","069-43","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",2,4,998,999,998,999,0,0,"Eloisa/Gizela","Salma/J",0,5,0,999,,49.3,"","08_08_1072"
"SCB2037",2037,"5/19/2016","1/0/1900","87-29","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",2,4,999,63,999,999,0,0,"Sumeya/Anabela","Mario Amos/J",0,6,5,41,,,"","08_08_1073"
"SCB2038",2038,"5/18/2016","1/0/1900","83-29","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",2,4,998,999,998,999,0,0,"Sumeya/Anabela","Salma/J",0,6,999,999,,27.63,"","08_08_1074"
"SCB2039",2039,"5/31/2016","1/0/1900","100-29","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",2,4,74,7,999,999,0,0,"Eloisa/Gizela","Mario Amos/ J",0,6,0,63,,50.73,"","08_08_1075"
"SCB2040",2040,"5/24/2016","1/0/1900","95-29","",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",2,4,998,998,998,998,0,0,"Sumeya/Anabela","Laurinda / Mario Amos",0,6,999,999,,30.08,"","08_08_1076"
"SCB2041",2041,"5/24/2016","1/0/1900","075-43","solo humido",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",2,4,998,998,998,998,0,0,"Gizela/Eloisa","Laurinda / Mario",0,6,0,999,,25.56,"","08_08_1077"
"SCB2042",2042,"5/12/2016","1/0/1900","055-43","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",2,4,999,130,998,999,0,0,"Gizela/Eloisa","Laurinda/J",0,6,6,999,,38.27,"","08_08_1078"
