"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4018A",0,,,,,"","","Rainy season",3,"",5,"N/A",6,"N/a",,"",,"",,"","","","Latuice cucumber",4,,"",,"","uuid:e2bf5b69-c3d8-4a89-a6c6-9654dc7ebf11",,-1,"4018A",0,"01_1251"
"4021a",0,,,,,"","","Rainy season",2,"",2,"",1,"",2,"",2,"",1,"","Boil and filter","","Cucumber morning glory latuice",5,,"",,"","uuid:c9588349-701f-4f5a-9b9b-a82d4037b06e",,-1,"4021a",0,"01_1252"
"4022a",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","Rainy season","","Cucumber eggplant long been carrots",4,,"",,"","uuid:060f93f8-4703-4a57-bfbe-79e597ca0573",,-1,"4022a",0,"01_1253"
"4023a",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","Morning glory Long been water Lyly Cucumber",4,,"",,"","uuid:9ab85e66-0b33-470e-bd31-b9388c0a147b",,-1,"4023a",0,"01_1254"
"4024a",0,,,,,"","","",3,"",2,"",3,"",,"",,"",,"","Boil","","Cucumber morning glory",4,,"",,"","uuid:95c20c3f-0d9d-4b87-bacf-3cc7631b378b",,-1,"4024a",0,"01_1255"
"4025a",0,,,,,"","","Rainy season",2,"",3,"",3,"",2,"",2,"",3,"","Bottle water","","Eggplant Cucumber latuice long been",4,,"",,"","uuid:ed55182b-9f21-46df-baf0-8b6adf452d99",,-1,"4025a",0,"01_1256"
"4026a",0,,,,,"","Don't have open drains","",3,"",3,"",1,"",,"",,"",,"","","","Latuice cucumber",4,,"",,"","uuid:21dca127-0bb6-4a1a-9a90-76c0b882b9a8",,-1,"4026a",0,"01_1257"
"4027a",0,,,,,"","","Rainy season",3,"",3,"",1,"",3,"",3,"",1,"","","","Cucumber morning glory latuice",4,,"",,"","uuid:ce590d21-0190-406b-ba41-4d8cd7fae74a",,-1,"4027a",0,"01_1258"
"4028a",0,,,,,"","Don't have open drains","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Boil","","Cooked vegetables before eat",4,,"",,"","uuid:ffd11d09-e09b-46e8-818d-e9297126f9ff",,-1,"4028a",0,"01_1259"
"4015a",0,,,,,"","","",3,"",3,"",3,"",3,"",3,"",3,"","","","Cucumber eggplant morning glory",4,,"",,"","uuid:fd9f4086-eb2d-4ed6-a381-b1b090d68d52",,-1,"4015a",0,"01_1260"
"4016a",0,,,,,"","Don't have open drain","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Boil and filters","Boil and filters","Eggplant cucumber",4,,"",,"","uuid:a4740c6f-3bb2-440b-97d2-50723dc603fb",,-1,"4016a",0,"01_1261"
