"h_sex","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes","h_UID"
1,1,,"uuid:3250becf-2d30-4161-aaef-36dc1ac6a134",,,"09_1223"
1,1,,"uuid:464d8e8c-b1cb-402d-9241-09384eb8a0a1",,,"09_1224"
1,1,,"uuid:cd8d7cab-8944-4c77-b6d4-b0c061832391",,,"09_1225"
1,1,,"uuid:25fd3f53-5b66-446b-a9a6-9f5dcf33d234",,,"09_1226"
1,1,,"uuid:1d4af0b8-8f5c-446f-8f2c-1c04fc922ba3",,,"09_1227"
1,1,,"uuid:bb9f6768-e1c9-40c1-983b-5a96f106b4f9",,,"09_1228"
1,1,,"uuid:0d9019f2-1b59-4e73-9bc8-3329df9bfffa",,,"09_1229"
1,1,,"uuid:750b5e12-14eb-4ae5-b423-7cb3dd2f6a03",,,"09_1230"
2,1,,"uuid:75e93439-bf8d-40e2-b4be-7615c22a696a",,,"09_1231"
1,1,,"uuid:3a8ec43b-d49f-4b3e-bbb3-913210c20ac4",,,"09_1232"
1,1,,"uuid:a0b1e1a9-d8f3-42f4-a075-59ac4af0988c",,,"09_1233"
1,1,,"uuid:45f5d5ae-0e02-4eb7-a042-83def68924c4",,,"09_1234"
1,1,,"uuid:d632e61a-b780-4f47-8f91-3e734a4cb526",,,"09_1235"
1,1,,"uuid:95312574-59da-4863-bc5b-a03faa4e3272",,,"09_1236"
2,2,,"uuid:75be3098-cd54-47a0-9d0f-0463221112e6",,,"09_1237"
1,2,,"uuid:96841ea8-0bf5-4c3b-81a5-e3bc5d774067",,,"09_1238"
1,2,,"uuid:68c75ed2-9aea-40e9-8f54-038213063df9",,,"09_1239"
1,2,,"uuid:76a286a1-a6a9-46ac-95a5-c52f69c148dc",,,"09_1240"
2,2,,"uuid:1a73ff1f-214f-43e6-b8cc-a362b9ca5aa9",,,"09_1241"
1,2,,"uuid:1a303aea-8c0d-4cd1-87f7-ac17e58d86eb",,,"09_1242"
1,1,,"uuid:226b1fb0-5bcb-49a3-8a2b-b823da1f19be",,,"09_1243"
1,1,,"uuid:a341e978-76ab-4c87-8173-4bffe2c1a276",,,"09_1244"
1,2,,"uuid:0134b8fa-7a3d-4909-8ee1-f3ab063d454a",,,"09_1245"
1,1,,"uuid:4c4af9f2-ee8e-4500-b92a-8833c6b1179a",,,"09_1246"
1,1,,"uuid:27ad1396-15c4-4bdf-89a4-bb7d6367c84a",,,"09_1247"
1,2,,"uuid:052c9862-02e0-480f-938b-10d19fc276b7",,,"09_1248"
2,2,,"uuid:f5da8562-33e5-40e1-8020-f79f811ded60",,,"09_1249"
1,1,,"uuid:11e92fdd-6873-46c1-8cb4-98bfb8ef4478",,,"09_1250"
2,1,,"uuid:891600e0-aaf6-4d88-815b-710ecdd6e4b6",,,"09_1251"
1,1,,"uuid:c9642d8c-4ac6-4f82-b18d-92efbf80e1c5",,,"09_1252"
1,1,,"uuid:81145b5e-d8f8-4479-9af3-30d96e197789",,,"09_1253"
1,1,,"uuid:99a949fb-0d31-4ab9-9cc7-74a1c08eebcd",,,"09_1254"
1,1,,"uuid:5baf97df-3f62-4aba-82e5-c2d808fe3571",,,"09_1255"
1,2,,"uuid:db970e11-7018-4edf-a335-1696fac0c4ac",,,"09_1256"
1,2,,"uuid:f71c87a3-66e3-433a-bc0f-1f1db89e071a",,,"09_1257"
1,1,,"uuid:176827f3-2ed5-481b-9e68-95121703c8e7",,,"09_1258"
1,1,,"uuid:49152316-dfc1-48c5-bbf9-96db8bb5f917",,,"09_1259"
2,1,,"uuid:e78a4e60-a100-43c2-9fa5-a1d58e418f18",,,"09_1260"
1,1,,"uuid:bffb434b-5bd8-4de8-88ee-4f1f7187d097",,,"09_1261"
1,2,,"uuid:28afe0cd-6779-4441-853e-2a428f58a6ee",,,"09_1262"
2,2,,"uuid:09158bf7-693d-4411-9268-8c644e2d6ed7",,,"09_1263"
2,1,,"uuid:d9d3cc94-663a-48d0-a4a1-60d2a13285b1",,,"09_1264"
1,2,,"uuid:71ec5c4a-8958-40de-aa9c-7570273587e9",,,"09_1265"
1,1,,"uuid:8d62b3e7-f70c-4f88-ac0a-056bef3b50cb",,,"09_1266"
