"number","formid","form.hh_dd","form.neighbor","X_h_location_latitude","X_h_location_longitude","X_h_location_altitude","X_h_location_precision","form.hh_gps_device","form.hh_gps_id","form.hh_waypoint","form.hh_q17d","form.hh_q17d_other","form.hh_q18","username","caseid","case_name","h_f_weekly","h_UID"
508,"6bbe6e90-a4e5-4bfb-b1c7-f2d35c482d9a","2016-03-24 11:11:00","Shiabu","5.53560761","-0.25775245","37.0","11.0","Yes","H0521",521,4,,"3","test",,,0,"03_0508"
509,"6c070851-bfa3-408f-a24f-18d43a1d3803","2016-04-27 12:46:00","Chorkor","5.5294972","-0.2530399","0.0","87.0","Yes","sp7",1219,7,,"3","ethel",,,0,"03_0509"
510,"731ffbe9-fb68-4a45-a85e-bfe55022b660","2016-07-13 11:22:00","Kokomlemle","5.57875053","-0.20718263","144.0","35.0","Yes","SP10",7148,7,,"2","famponsah",,,0,"03_0510"
511,"74483290-e18c-4c89-8a92-8088b982c1d1","2016-03-22 11:14:00","Shiabu","5.5241317371199035","-0.25794064934923594","38.31","8.0","Yes","023",23,4,,"3","test",,,0,"03_0511"
512,"785989a4-ae75-4d35-8247-c2576531a809","2016-07-18 10:32:00","Kokomlemle","5.57433773","-0.21150569","13.0","4.0","Yes","sp8",32402,7,,"3","slaryea",,,0,"03_0512"
513,"7713aab2-caaa-49bd-9f7b-dbd4dc015af7","2016-07-18 10:25:00","Kokomlemle","5.5712013","-0.21085779","27.0","4.0","Yes","SP10",71411,7,,"1","famponsah",,,0,"03_0513"
514,"6ef55ee8-0e11-4bb2-a11f-b3cd7d91e77d","2016-07-13 11:26:00","Kokomlemle","5.57926341","-0.20418413","59.0","11.0","Yes","SP3",6249,1,,"3","iselby",,,0,"03_0514"
515,"6f393502-b6ab-4088-b7a9-09141050254a","2016-04-28 11:19:00","Chorkor","5.529129279331098","-0.2494261978334323","47.52","4.0","Yes","sp8",3223,7,,"1","slaryea",,,0,"03_0515"
516,"6e14cf37-e943-464a-9e37-2b044a76a1f3","2016-03-21 11:35:00","Shiabu","5.52492577","-0.25425526","14.0","4.0","No",,,1,,"1","test",,,0,"03_0516"
517,"6f8104f4-7624-4805-9ee6-2ade93a93e8f","2016-06-09 13:11:00","Adabraka",,,,,"Yes","sp8",32214,7,,"1","slaryea",,,0,"03_0517"
518,"6f820c82-3cbe-439b-a873-47777be4ae73","2016-07-08 10:51:00","Ringway","5.5567251","-0.18584172","60.0","9.0","Yes","SP1",41324,7,,"1","maggrey",,,0,"03_0518"
520,"76e53141-fede-40ee-a621-a3f1248c82a6","2016-07-18 11:32:00","Kokomlemle","5.57282526","-0.21230247","41.0","9.0","Yes","SP10",71416,7,,"2 3","famponsah",,,0,"03_0520"
