"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:52af9d52-6068-44e4-acd4-444c13766c62",,-1,"","01_03_1102"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:68f63711-6a2a-4e47-bdf0-4c65cc939c7c",,-1,"","01_03_1103"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:95c95bcb-97bd-41cd-875a-6b59a8d7a5b1",,-1,"","01_03_1104"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:874b0671-d0eb-4dc1-9e51-fa36244aa2ba",,-1,"","01_03_1105"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:dcb00560-a675-4e54-8731-05203293076a",,-1,"","01_03_1106"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:20d1fa3f-44d4-4a01-9362-c3e7eb4cfd74",,-1,"","01_03_1107"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:5632234b-0bdc-427a-969d-def16cfe4bce",,-1,"","01_03_1108"
0,,,,,,1,0,,,"",,,,,,,,,,,"uuid:8c53041b-f3c9-44da-9662-3a5a76618411",,-1,"","01_03_1109"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:901b7a52-3b3e-40be-8c85-5c9c5f7c187c",,-1,"","01_09_1110"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:53b251f1-e29b-499e-8d2e-677b85813a28",,-1,"","01_09_1111"
0,,,,,,,,,3,"Rain",1,0,,,,,,,,,"uuid:8ce44843-2280-4cac-811d-d2849cfdc703",,-1,"","01_09_1112"
