"h_dw_b.1","h_dw_b.2","h_dw_b.3","h_dw_b.4","h_dw_b.5","h_dw_b_other","h_dw_specific","h_dw_d.1","h_dw_d.2","h_dw_d.3","h_dw_d.4","h_dw_d.5","h_dw_d_other","h_dw_cspecific","meta.instanceID","X_tags","X_notes","h_UID"
"True","False","False","False","False",,"Everpure and Special Ice Mineral water","True","False","False","False","False",,"Everpure and Special Ice Mineral water","uuid:d424ec1a-f840-4221-97f8-ec7d3aac0df4",,,"07_1091"
"True","False","False","False","False",,"Special Ice and Cool Pac water","True","False","False","False","False",,"Special Ice and Cool Pac water","uuid:cd4124a5-70ab-4a51-9a87-8cc9e106d2f8",,,"07_1092"
"True","False","False","False","False",,"Special Ice and Cool Pac water","True","False","False","False","False",,"Special Ice and Cool Pac water","uuid:6154eabe-913d-4eb0-89ef-3af7636fce80",,,"07_1093"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:1e129f93-bec4-4f81-a7f4-a6d5dd1082df",,,"07_1094"
"True","False","False","False","False",,"Cool mineral water","True","False","False","False","False",,"Cool mineral water","uuid:a7db5633-5377-4c20-a377-91b5dc4f1de8",,,"07_1095"
"True","False","False","False","False","There is borehole in the said house","Big, cool and mobile mineral water","True","False","False","False","False","They have borehole in the house.","Bigosei ,cool and mobile mineral water","uuid:69ba64ee-3d0a-44d8-bd6c-59d4f60a523b",,,"07_1096"
"False","False","True","False","False","Because they are using borehole water for their everything",,"True","False","False","False","False",,"Cool minera water","uuid:721a2ae1-97a3-44cb-9f9f-b1bab4e90914",,,"07_1097"
"True","False","False","False","False",,"Big osei mineral water","True","False","False","False","False",,"Big osei mineral water","uuid:4e1b59d9-1c54-4e80-96ca-d31d3b3b3cd2",,,"07_1098"
"False","False","False","True","False","They are using well water",,"True","False","False","False","False",,"Big osei minera water","uuid:2e3351c9-4170-4dd8-b0a0-31627e5627aa",,,"07_1099"
"True","False","False","False","False",,"Cool minera water","True","False","False","False","False",,"Big osei minera water","uuid:ec92fba9-575e-4a46-a02d-2dd5dd77de80",,,"07_1100"
"True","False","False","False","False",,"Cool and big osei","True","False","False","False","False",,"Cool and big osei minera water","uuid:c3a2818b-e1ca-4452-bd6b-070cd9b45665",,,"07_1101"
"True","False","False","False","False",,"Cool sachet water.","True","False","False","False","False",,"Cool sachet  water.","uuid:cd21836f-3f4d-4d4c-baed-12af909a45ab",,,"07_1102"
"True","False","False","False","False",,"Ever pure and cool sachet water","True","False","False","False","False",,"Ever pure and cool sachet water.","uuid:6544936f-d894-47f0-9c46-8a19f63ffe65",,,"07_1103"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:757bf32d-83ce-4b43-be17-143fde3a6bff",,,"07_1104"
"True","False","False","False","False",,"Osara minera water","True","False","False","False","False",,"Osara minera water","uuid:ada184df-12a1-4268-ba51-d8d638709f32",,,"07_1105"
"True","False","False","False","False",,"Saliki minera water","True","False","False","False","False",,"Saliki minera water","uuid:5ae9d55d-4ee5-4ce3-8256-48fca2662a18",,,"07_1106"
"True","False","False","False","False",,"Big osei minera water","True","False","False","False","False",,"Big osei minera water","uuid:533fcd0f-5bf7-4e89-9e09-5a8189a64dac",,,"07_1107"
"True","False","False","False","False",,"Big osei, saliki and cool minera water","True","False","False","False","False",,"Big osei  saliki and cool minera water","uuid:1c2b6a92-812c-4ae2-b263-bb5335040286",,,"07_1108"
"True","False","False","False","False",,"Cool, big osei and saliki minera water","True","False","False","False","False",,"Cool, saliki and big osei minera water","uuid:6ff4919e-5c02-4706-9645-b346b5194aba",,,"07_1109"
"True","False","False","False","False",,"Start and samerage minera water","True","False","False","False","False",,"Start and samerage minera water","uuid:e6505bdd-5c1a-40fd-b3b3-0fd8906f08dd",,,"07_1110"
"True","False","False","False","False",,"Big osei minera water","False","True","False","False","False",,"Volitic mineral water","uuid:edb854d6-9f47-4b24-a061-44cefc97fc22",,,"07_1111"
"True","False","False","False","False",,"Saliki and cool mineral water","True","False","False","False","False",,"Saliki and cool minerl water","uuid:0ff6f83c-4b17-4164-a8cd-7fda025790ac",,,"07_1112"
"True","False","False","False","False",,"Big osei,saliki and cool miner water","True","False","False","False","False",,"Saliki,big osei and cool mineral water","uuid:b95ac166-5e28-4f77-a2d9-3b8e90f58a30",,,"07_1113"
"True","False","False","False","False",,"Mobile minera water","True","False","False","False","False",,"Mobile mineral water","uuid:71c85e91-51f9-488f-96b1-c86653935caf",,,"07_1114"
"True","False","False","False","False",,"Sparks sachet water. ","True","False","False","False","False",,"Sparks sachet water. ","uuid:c9d7d82a-febd-4863-84ea-909a8d47e38c",,,"07_1115"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:26e983b6-3853-46c9-94a0-7f5df52674bd",,,"07_1116"
"True","False","False","False","False",,"ABC mineral water","True","False","False","False","False",,"ABC mineral water","uuid:94f818fa-ef61-4d65-91eb-22c57b09689b",,,"07_1117"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:ec6975fd-f16e-4ab0-8efb-143c19fe1b53",,,"07_1118"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:7aac14ef-4be3-480a-a4cf-ba476efa58cc",,,"07_1119"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:c2e77828-9532-4082-ac57-4b74f4a34c3e",,,"07_1120"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:31896b6f-6c29-441d-b0f5-ead695c68db5",,,"07_1121"
"True","True","False","False","False",,"Voltic mineral water and Cool Pac","True","True","False","False","False",,"Voltic mineral water and Cool Pac","uuid:f25c5fd7-9600-4db4-8a22-bc00d07e0d9d",,,"07_1122"
"True","False","False","False","False",,"Good Tree mineral water","True","False","False","False","False",,"Good Tree mineral water","uuid:1506b7b1-fd08-424b-b1e8-80300e3d58d5",,,"07_1123"
"True","False","False","False","False",,"Big Osei Mineral water","True","False","False","False","False",,"Big Osei mineral water","uuid:fc788a58-96ca-4c52-b7da-c0e22ee31978",,,"07_1124"
"True","False","False","False","False",,"Mobile and Cool Pac water","True","False","False","False","False",,"Mobile and Cool Pac water","uuid:d8178473-f57f-4162-9f8d-8cd7c24e8594",,,"07_1125"
"True","False","False","False","False",,"P1 mineral water","True","False","False","False","False",,"P1 mineral water","uuid:bf879a6b-31e3-4320-8986-127900023880",,,"07_1126"
"True","False","False","False","False",,"Gina mineral water","True","False","False","False","False",,"Gina mineral water","uuid:dba68ec3-1efc-44f5-a7a1-343d71283b2b",,,"07_1127"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:d2df14d4-282b-4d17-a3a9-8f883aa7fd71",,,"07_1128"
"True","False","False","False","False",,"Zamzam mineral water","True","False","False","False","False",,"Zamzam mineral water","uuid:53d5cb71-5359-4cc3-8e7d-f7577dd2bc45",,,"07_1129"
"True","False","False","False","False",,"P1 mineral water","True","False","False","False","False",,"P1 mineral water","uuid:9da03c21-8746-496d-9de2-cac2796ccec7",,,"07_1130"
"True","False","False","False","False",,"P1 mineral water","True","False","False","False","False",,"P1 mineral water","uuid:c6c942b9-c557-405a-b014-f9fc13e26a84",,,"07_1131"
"True","False","False","False","False",,"Sanapac","True","False","False","False","False",,"Sanapac","uuid:5944544a-e02c-4331-a059-4b7cc64ce921",,,"07_1132"
"True","False","False","False","False",,"Everpure,mobile water","True","False","False","False","False",,"Everpure, mobile water","uuid:12bd2d6d-f4eb-4d71-9500-487e9c72aef9",,,"07_1133"
"True","False","False","False","False",,"Voltic","True","False","False","False","False",,"Voltic","uuid:13136d11-04eb-4437-97a3-e933af6b6211",,,"07_1134"
