"number","formid","form.drain_replicate","form.ec_sd","form.ec_st","form.ec_isd","form.ec_ist","form.ec_ied","form.ec_iet","form.dilution_error_1","form.dilution_error_2","form.ec_blank","username","received_on","caseid","case_name","lab_UID"
66,"6f970ccd-c194-4e7a-8466-abe31a958c9c",,"2016-07-20","13:00:00.000Z","2016-07-20","15:00:00.000Z","2016-07-21","15:00:00.000Z",,,0,"sborbor","2016-08-02 07:59:28",,,"03_07_0570"
67,"8be2cbbd-1b17-4570-8c20-5caf7ae168b7","B","2016-06-15","13:00:00.000Z","2016-06-15","14:00:00.000Z","2016-06-16","14:00:00.000Z",,,0,"laadomako","2016-06-16 15:41:09",,,"03_01_0326"
68,"8a1e9301-4e60-4e45-85e1-fc320fdccac0",,"2016-07-04","14:30:00.000Z","2016-07-04","15:30:00.000Z","2016-07-05","15:30:00.000Z",,,0,"ayeboah","2016-07-08 14:39:10",,,"03_03_0518"
69,"8c6b7639-2d5c-44d4-af6c-60f921541282","N","2016-06-14","13:00:00.000Z","2016-06-14","14:30:00.000Z","2016-06-15","15:00:00.000Z",,,0,"ayeboah","2016-06-15 18:05:47",,,"03_01_0325"
70,"8634508f-1634-40d6-9798-ff482bc30f1a","N","2016-07-18","16:00:00.000Z","2016-07-18","17:00:00.000Z","2016-07-19","16:00:00.000Z",,,0,"ayeboah","2016-08-02 07:52:44",,,"03_01_0557"
71,"86cbaab9-0408-4d68-b74c-a39dea106e35",,"2016-07-08","13:30:00.000Z","2016-07-08","15:00:00.000Z","2016-07-09","14:00:00.000Z",,,0,"ayeboah","2016-07-09 16:46:00",,,"03_07_0501"
72,"86cc273d-0393-4607-bd2a-c17b55011251",,"2016-06-17","13:30:00.000Z","2016-06-17","15:00:00.000Z","2016-06-18","12:30:00.000Z",,,0,"ayeboah","2016-06-18 14:30:10",,,"03_07_0372"
73,"870eebc9-4171-4872-bd2e-82204a9dc6f2",,"2016-03-21","13:40:00.000Z","2016-03-21","16:00:00.000Z","2016-03-22","14:00:00.000Z",,,0,"test","2016-03-22 15:44:40",,,"03_03_0879"
74,"871bb1f1-365c-41f9-89d9-51a76cc13b6e",,"2016-06-07","14:00:00.000Z","2016-06-07","15:00:00.000Z","2016-06-08","15:00:00.000Z",,,0,"ayeboah","2016-06-09 13:52:15",,,"03_03_0294"
76,"8f19dd9a-c68f-4f30-a4e3-5bf7b9b39d0c",,"2016-03-29","12:30:00.000Z","2016-03-29","15:30:00.000Z","2016-03-30","14:30:00.000Z",,,0,"test","2016-04-01 09:48:15",,,"03_04_0851"
77,"8d229301-99b7-42cf-a250-f706325d5ed9","N","2016-07-18","16:00:00.000Z","2016-07-18","17:00:00.000Z","2016-07-19","16:00:00.000Z",,,0,"ayeboah","2016-08-02 07:52:55",,,"03_01_0534"
78,"e53d6db6-8546-4df1-a72e-68790ceed89e",,"2016-06-20","13:00:00.000Z","2016-06-20","15:00:00.000Z","2016-06-21","15:00:00.000Z",,,0,"sborbor","2016-06-22 14:32:13",,,"03_07_0358"
79,"ecfeeaa1-0df0-400e-9263-b65dc783bc9e",,"2016-03-31","13:00:00.000Z","2016-03-31","15:00:00.000Z","2016-04-01","15:00:00.000Z",,,0,"sborbor","2016-05-16 14:34:53",,,"03_07_0896"
80,"ebe0513a-2da9-4b17-8cb8-a9f7c8b4ad11","N","2016-05-17","12:00:00.000Z","2016-05-17","15:00:00.000Z","2016-05-18","14:00:00.000Z",,,0,"laadomako","2016-05-19 08:27:52",,,"03_01_0219"
81,"e6f990e9-6e45-49ff-9eb6-957e20672d21","N","2016-07-18","16:00:00.000Z","2016-07-18","17:00:00.000Z","2016-07-19","16:00:00.000Z",,,0,"ayeboah","2016-08-02 07:52:33",,,"03_01_0548"
82,"dc3aed2b-3dcc-4bf9-bd37-feaedae90831",,"2016-07-20","13:00:00.000Z","2016-07-20","15:00:00.000Z","2016-07-21","15:00:00.000Z",,,0,"sborbor","2016-08-02 08:00:11",,,"03_07_0595"
83,"dc9b1f9e-54b8-4a94-82e2-364678d36e8c",,"2016-05-09","12:00:00.000Z","2016-05-09","14:00:00.000Z","2016-05-10","14:00:00.000Z",,,0,"ayeboah","2016-05-10 19:28:47",,,"03_04_0155"
84,"e82c6887-9a7d-4b69-8753-8843d29854ee","N","2016-06-29","14:00:00.000Z","2016-06-29","16:00:00.000Z","2016-06-30","15:00:00.000Z",,,0,"sborbor","2016-07-04 08:24:34",,,"03_01_0451"
85,"e4a53357-46cd-41d5-b9d0-2d32acdeaa56",,"2016-06-23","14:00:00.000Z","2016-06-23","15:30:00.000Z","2016-06-24","13:00:00.000Z",,,0,"sborbor","2016-06-28 08:57:49",,,"03_08_0396"
86,"ee432a01-0bda-4e65-be9a-da92e8b891e1",,"2016-06-20","13:30:00.000Z","2016-06-20","15:00:00.000Z","2016-06-21","15:00:00.000Z",,,0,"sborbor","2016-06-23 12:42:46",,,"03_07_0385"
87,"c5db78a6-c442-4786-9954-fdf31d463219","N","2016-06-13","14:30:00.000Z","2016-06-13","17:30:00.000Z","2016-06-14","15:00:00.000Z",,,0,"laadomako","2016-06-15 17:20:38",,,"03_01_0209"
88,"d12ce356-9762-47c3-82b1-5b1b34b620d4",,"2016-07-04","14:30:00.000Z","2016-07-04","15:30:00.000Z","2016-07-05","15:30:00.000Z",,,0,"ayeboah","2016-07-08 14:22:53",,,"03_02_0514"
89,"cb602042-8b1f-46ea-8bb9-aad7bf27a49b",,"2016-03-28","12:00:00.000Z","2016-03-28","14:00:00.000Z","2016-03-29","13:00:00.000Z",,,0,"sborbor","2016-05-03 13:31:28",,,"03_07_0797"
90,"cba214fd-934f-4691-8e47-cef72b339883",,"2016-06-06","12:00:00.000Z","2016-06-06","14:00:00.000Z","2016-06-07","14:00:00.000Z",,,0,"sborbor","2016-06-07 14:45:07",,,"03_02_0256"
91,"ccea0b3e-3259-4562-b160-61472d33de53",,"2016-03-22","15:00:00.000Z","2016-03-22","15:00:00.000Z","2016-03-23","15:00:00.000Z",,,0,"test","2016-03-23 15:54:43",,,"03_03_0868"
92,"cdb91420-3e89-4ed5-8ed4-45901a7a8d84",,"2016-06-16","13:00:00.000Z","2016-06-16","15:00:00.000Z","2016-06-17","15:00:00.000Z",,,0,"ayeboah","2016-06-18 12:07:31",,,"03_07_0338"
93,"d4ef2d75-251c-400d-b120-0a057a5a26d7","B","2016-05-18","12:30:00.000Z","2016-05-18","14:30:00.000Z","2016-05-19","14:30:00.000Z",,,0,"laadomako","2016-05-20 14:25:31",,,"03_01_0220"
94,"d5b43af8-5080-443d-b906-bd80aab84e99",,"2016-06-17","13:30:00.000Z","2016-06-17","15:00:00.000Z","2016-06-18","12:30:00.000Z",,,0,"ayeboah","2016-06-18 14:20:12",,,"03_07_0351"
96,"caca482e-f30c-4bf7-b6f9-b32a9820f0f5",,"2016-07-21","14:30:00.000Z","2016-07-21","15:30:00.000Z","2016-07-22","14:00:00.000Z",,,0,"ayeboah","2016-08-02 07:54:39",,,"03_07_0568"
97,"bb9c05ba-d07c-4196-82cd-d8720b262d50",,"2016-03-30","12:00:00.000Z","2016-03-31","15:30:00.000Z","2016-03-31","15:00:00.000Z",,,0,"sborbor","2016-05-17 11:53:08",,,"03_08_0804"
98,"f0906818-67c8-4ba2-aa2a-9bdf51d0e450",,"2016-03-21","13:45:00.000Z","2016-03-21","16:00:00.000Z","2016-03-22","14:00:00.000Z",,,0,"test","2016-03-22 15:59:02",,,"03_02_0872"
99,"07832d0e-05ea-4b14-a600-66f787c9e087","N","2016-06-28","13:00:00.000Z","2016-06-28","15:00:00.000Z","2016-06-29","16:00:00.000Z",,,0,"laadomako","2016-06-30 15:56:32",,,"03_01_0446"
100,"19daee0c-16b3-487d-9bbe-f74689589721",,"2016-06-06","12:00:00.000Z","2016-06-06","14:00:00.000Z","2016-06-07","14:00:00.000Z",,,0,"sborbor","2016-06-07 14:37:10",,,"03_02_0255"
101,"1e1db0f0-27e7-4cdc-a215-5903fd7033f7",,"2016-06-24","13:00:00.000Z","2016-06-24","14:00:00.000Z","2016-06-25","14:00:00.000Z",,,0,"sborbor","2016-06-28 12:11:49",,,"03_03_0413"
102,"1fba0629-5b87-431e-b16f-fd5963a90d09",,"2016-03-30","12:00:00.000Z","2016-03-30","15:30:00.000Z","2016-03-31","15:00:00.000Z",,,0,"sborbor","2016-05-17 13:35:56",,,"03_08_0810"
103,"24ff9c00-be8d-4986-9f45-5a163c89fb2a",,"2016-04-28","12:00:00.000Z","2016-04-28","14:00:00.000Z","2016-04-29","13:00:00.000Z",,,0,"sborbor","2016-05-03 13:33:56",,,"03_07_0677"
104,"257fc9f4-f7f8-4090-bf78-f0cec4716217",,"2016-06-17","13:30:00.000Z","2016-06-17","15:00:00.000Z","2016-06-18","12:30:00.000Z",,,0,"ayeboah","2016-06-18 14:33:44",,,"03_07_0365"
105,"1aa0bbb4-f11a-494c-997b-064dcd9eab32",,"2016-07-20","13:00:00.000Z","2016-07-20","15:00:00.000Z","2016-07-21","15:00:00.000Z",,,0,"sborbor","2016-08-02 07:59:33",,,"03_07_0594"
106,"1cb8d9b2-290d-4d7d-8e71-9f7203c86768","N","2016-05-17","12:00:00.000Z","2016-05-17","15:00:00.000Z","2016-05-18","14:30:00.000Z",,,0,"laadomako","2016-05-19 08:05:05",,,"03_01_0215"
107,"0247342c-9c18-4567-8ab0-804973958359",,"2016-06-23","14:00:00.000Z","2016-06-23","15:30:00.000Z","2016-06-24","13:00:00.000Z",,,0,"sborbor","2016-06-28 11:57:21",,,"03_08_0399"
108,"007c27da-11bb-4668-bd1e-d98e600558d8","N","2016-05-19","12:00:00.000Z","2016-05-20","14:00:00.000Z","2016-05-20","14:00:00.000Z",,,0,"sborbor","2016-05-21 13:52:53",,,"03_01_0247"
109,"0a1ec9b4-d66e-440e-a3d8-b1a346edc07f","N","2016-03-30","12:00:00.000Z","2016-03-30","15:00:00.000Z","2016-03-31","15:00:00.000Z",,,0,"sborbor","2016-05-17 11:32:59",,,"03_01_0802"
110,"0a4d3f70-ed66-4f37-bd33-c5a6a9121ab0",,"2016-03-22","15:00:00.000Z","2016-03-22","15:00:00.000Z","2016-03-23","15:00:00.000Z",,,0,"test","2016-03-23 15:51:28",,,"03_03_0866"
111,"0ea4c8e4-0b57-4afd-9e69-d52a8860523a","N","2016-05-19","13:00:00.000Z","2016-05-19","15:00:00.000Z","2016-05-20","15:00:00.000Z",,,0,"sborbor","2016-05-21 14:00:26",,,"03_01_0227"
112,"101811d3-de1d-4161-a49d-addaab14eb55","N","2016-07-18","16:00:00.000Z","2016-07-18","17:00:00.000Z","2016-07-19","16:00:00.000Z",,,0,"ayeboah","2016-08-02 07:52:58",,,"03_01_0533"
113,"091c9e37-6cca-492d-92cc-b25e7c4369f0","N","2016-07-18","16:00:00.000Z","2016-07-18","17:00:00.000Z","2016-07-19","16:00:00.000Z",,,0,"ayeboah","2016-08-02 07:52:15",,,"03_01_0536"
