"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Municipal Drinking Water",3,207,"Shampur","Adults","a",0.0014346422892667,0.150926691316954,480,2.80596850404695,1.63550369705951,10,0.651,95190002.093719,95190002.093719,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 207 Adults","Dhaka 207",0.24410202087647
"Municipal Drinking Water",3,207,"Shampur","Children","c",0.00239633826744397,0.168051459436409,444,2.80596850404695,1.63550369705951,10,0.627,7558022.76047632,7558022.76047632,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 207 Children","Dhaka 207",0.00790704246362171
"Floodwater",6,207,"Shampur","Adults","a",0.0531749473113039,0.764347567618194,478,5.52010879117152,1.35602686596164,10,0.903,668747.816795083,668747.816795083,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 207 Adults","Dhaka 207",0.00171491427614097
"Floodwater",6,207,"Shampur","Children","c",0.0747406849268935,1.44740834599276,438,5.52010879117152,1.35602686596164,10,0.969,21805934.112665,21805934.112665,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 207 Children","Dhaka 207",0.0228129039104552
"Public Latrine",7,207,"Shampur","Adults","a",0.0454782449528025,1.06202335778681,242,-0.0646621231704374,0.339573518868152,10,0.959,3.72102909648264,3.72102909648264,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 207 Adults","Dhaka 207",9.54208112420551e-09
"Public Latrine",7,207,"Shampur","Children","c",0.018956820280569,0.665271815082677,222,-0.0646621231704374,0.339573518868152,10,0.937,5.54605288078095,5.54605288078095,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 207 Children","Dhaka 207",5.80216242046124e-09
"Raw Produce",2,207,"Shampur","Adults","a",0.111372692229115,1.35808646056842,240,3.61331675917167,2.19620227348799,8,0.951,3632350216.85447,3632350216.85447,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 207 Adults","Dhaka 207",9.31467600549373
"Raw Produce",2,207,"Shampur","Children","c",0.151703803972134,1.72871052263765,222,3.61331675917167,2.19620227348799,8,0.966,9461178566.67492,9461178566.67492,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 207 Children","Dhaka 207",9.89808354028977
"Surface Water",5,207,"Shampur","Adults","a",0.0134884662334053,0.193450876084179,244,4.86066288254979,1.07953012733258,10,0.574,554671.771453306,554671.771453306,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 207 Adults","Dhaka 207",0.00142238152491666
"Surface Water",5,207,"Shampur","Children","c",0.0110669777244955,0.237378631854884,224,4.86066288254979,1.07953012733258,10,0.642,5529102.53247471,5529102.53247471,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 207 Children","Dhaka 207",0.00578442932702157
