sample_id,project,neighborhood,sample_type,sample_name,collection_datetime,way_point,GPS_latitude,GPS_longitude,notes,processing_datetime,incubation_start_datetime,incubation_end_datetime,dilution1,dilution2,count1,count2,plate1_tntc,plate2_tntc,produce_weight,blank_count,collector_name,lab_operator_name
67,1,1,4,PPW010,3/27/2014 18:45,PPW010,12.91352,79.1401,"NEAR TO THE PUBLIC, CHILD DOING OPEN DEFECATE, HOUSE HOLDS WASHING CLOTHS AND VEHICLES. SOME ANIMAL FECES ALSO VISIBLE.",3/28/2014 14:00,3/28/2014 14:30,3/29/2014 11:00,1,1,0,0,FALSE,FALSE,None,0,ANNAI,DANIEL
68,1,1,4,PPW006,3/24/2014 16:35,PPW006,12.91245,79.13993,"NEAR OPEN DRAINAGE, OPEN ANIMAL SHED.",3/25/2014 14:00,3/25/2014 16:00,3/26/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
69,1,1,4,PPW008,3/27/2014 18:10,PPW008,12.91333,79.14153,"OLD PUBLIC TOILET AVAILABLE NEAR TO THE TAP, OPEN DEFECATION ALSO HAPPENING NEAR THE TAP.",3/28/2014 14:00,3/28/2014 14:30,3/29/2014 11:00,1,1,0,0,FALSE,FALSE,None,0,ANNAI,DANIEL
70,1,1,4,PPW009,3/27/2014 18:30,PPW009,12.91455,79.14053,"NEAR TO THE PUBLIC TAP OPEN DRAIN THERE, AND HOUSE CONSTRUCTION ALSO GOING ON.",3/28/2014 14:00,3/28/2014 14:30,3/29/2014 11:00,1,1,0,0,FALSE,FALSE,None,0,ANNAI,DANIEL
71,1,1,4,PPW007,3/27/2014 17:50,PPW007,12.91252,79.14198,"NEAR TO THE PUBLIC BATHING WATER TANK AVAILABLE., OPEN DRAIN , ANIMAL FECES VISIBLES",3/28/2014 14:00,3/28/2014 14:30,3/29/2014 11:00,1,1,0,0,FALSE,FALSE,None,0,ANNAI,DANIEL
72,1,2,4,PPW101,3/25/2014 16:45,PPW101,12.90161,79.12318,OPEN DRAIN NEAR PIPED WATER AVAILABLE. STREET NAME: PATCHAYAPPA STREET 1,3/26/2014 9:30,3/26/2014 14:00,3/27/2014 14:00,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
73,1,2,4,PPW102,3/25/2014 17:00,PPW102,12.90122,79.12189,"NEAR OPEN DRAINS AVAILABLE, WATER NOT CLEAN.",3/26/2014 9:30,3/26/2014 14:00,3/27/2014 14:00,1,1,None,None,TRUE,TRUE,None,0,T.THENPANDIYAN,DANIEL
74,1,2,4,PPW103,3/26/2014 8:08,PPW103,12.90067,79.12511,"NEAR OPEN DRAINAGE, TEMPLE",3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
75,1,2,4,PPW104,3/26/2014 8:18,PPW104,12.9007,79.12531,"NEAR TEMPLE DRAINAGE, NEAR WATER TANK, TEMPLE, SCHOOL. STREET NAME: PANATHOPPU-1",3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
76,1,2,4,PPW105,3/26/2014 8:27,PPW105,12.90117,79.12374,"NEAR CAP CLINIC OPPOSITE OPEN ANIMAL SHED , RUBBISH DUMPING PLACE. CAP MAIN ROAD.",3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,7,7,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
77,1,2,4,PPW106,3/26/2014 9:50,PPW106,12.90183,79.12319,"NEAR OPEN DRAINAGE, STREET: RN PALAYAM",4/16/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,180,180,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
78,1,2,4,PPW107,3/26/2014 11:30,PPW107,12.90118,79.12372,NEAR CAP CLINIC,3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
79,1,2,4,PPW108,3/26/2014 11:40,PPW108,12.90075,79.12476,,3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
80,1,2,7,PBW106,3/26/2014 8:08,PBW106,12.90059,79.12512,"NEAR GOING OPEN DRAINAGE, ATTACHED WISH TEMPLE OPPOSITE TAP.",3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,A.GEETHA,DANIEL
81,1,2,7,PBW107,3/26/2014 8:38,PBW107,12.90095,79.12617,"NEAR MUSLIM CEMENTRY, NEAR OPEN DRAINAGE.",3/26/2014 14:00,3/26/2014 16:00,3/27/2014 16:00,1,1,0,0,FALSE,FALSE,None,0,A.GEETHA,DANIEL
