"lab_start_dt","subscriberid","simserial","deviceid","lab_end_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_analysis","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_note","lab_1_dil_tested","lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_1_ecoli_reading_idexx","lab_1_ecoli_big_idexx","lab_1_ecoli_small_idexx","lab_2_dil_tested","lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_2_ecoli_reading_idexx","lab_2_ecoli_big_idexx","lab_2_ecoli_small_idexx","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_3_ecoli_reading_idexx","lab_3_ecoli_big_idexx","lab_3_ecoli_small_idexx","lab_closing_group","lab_notes","lab_enum","lab_photo","X__version__","X_id","X_uuid","X_submission_time","X_index","lab_extra_data","dply_num","lab_UID","lab_date","citylabel"
"2020-01-12T23:02:43.000-00:00","","","","2020-01-12T23:05:13.000-00:00",3,3071,3071,"2019-12-11T16:00:00.000-00:00","2019-12-11T16:10:00.000-00:00","2019-12-13T13:30:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","AMS",0,,,"a2906c2e-1738-48c2-a2d4-a830f91d5a90","2020-01-12T23:05:19",,,12,"12_03_3071","2019-12-11","Dakar 19"
"2020-01-12T23:05:13.000-00:00","","","","2020-01-12T23:09:47.000-00:00",3,3072,3072,"2019-12-11T16:00:00.000-00:00","2019-12-11T16:10:00.000-00:00","2019-12-13T13:30:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","AMS",0,,,"61271065-0a8e-40cd-b5fa-7251df056fe9","2020-01-12T23:09:53",,,12,"12_03_3072","2019-12-11","Dakar 19"
"2020-01-12T23:09:47.000-00:00","","","","2020-01-12T23:11:38.000-00:00",3,3073,3073,"2019-12-11T16:00:00.000-00:00","2019-12-11T16:10:00.000-00:00","2019-12-13T13:30:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","AMS",0,,,"44131ee0-7b72-4591-9292-a5190f76e75b","2020-01-12T23:11:44",,,12,"12_03_3073","2019-12-11","Dakar 19"
"2020-01-12T23:11:39.000-00:00","","","","2020-01-12T23:13:02.000-00:00",3,3074,3074,"2019-12-11T16:00:00.000-00:00","2019-12-11T16:10:00.000-00:00","2019-12-13T13:30:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","AMS",0,,,"5cf2a2d3-c613-4e47-92c2-652fe7e237f5","2020-01-12T23:13:08",,,12,"12_03_3074","2019-12-11","Dakar 19"
"2020-01-12T23:13:02.000-00:00","","","","2020-01-12T23:15:17.000-00:00",3,3075,3075,"2019-12-11T16:00:00.000-00:00","2019-12-11T16:10:00.000-00:00","2019-12-13T13:30:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","AMS",0,,,"d2f24e3f-10a7-465c-8f70-d52f4c24eacd","2020-01-12T23:15:23",,,12,"12_03_3075","2019-12-11","Dakar 19"
"2020-01-12T23:15:17.000-00:00","","","","2020-01-12T23:25:08.000-00:00",1,4031,4031,"2019-12-06T10:30:00.000-00:00","2019-12-06T11:00:00.000-00:00","2019-12-08T12:30:00.000-00:00",2,,,,,5,100,1,,,,,4,100,3,0,,,,0,,,,,,,,,"","MD",1,,,"07a9fda0-2137-4281-a761-8276aafc7f3f","2020-01-12T23:25:15",,,12,"12_01_4031","2019-12-06","Dakar 19"
"2020-01-12T23:25:08.000-00:00","","","","2020-01-12T23:30:21.000-00:00",1,4032,4032,"2019-12-06T10:35:00.000-00:00","2019-12-06T11:00:00.000-00:00","2019-12-08T12:30:00.000-00:00",2,,,,,5,100,1,,,,,4,100,3,0,,,,0,,,,,,,,,"","MD",1,,,"9a0a45c3-8d0f-4bfa-beb6-b41c925e4333","2020-01-12T23:30:28",,,12,"12_01_4032","2019-12-06","Dakar 19"
"2020-01-12T23:30:21.000-00:00","","","","2020-01-12T23:31:52.000-00:00",1,4033,4033,"2019-12-06T10:40:00.000-00:00","2019-12-06T11:00:00.000-00:00","2019-12-08T12:30:00.000-00:00",2,,,,,5,100,3,0,,,,4,100,3,0,,,,0,,,,,,,,,"","MD",0,,,"4170f479-ee4b-46a0-8af6-ee20440daa93","2020-01-12T23:31:58",,,12,"12_01_4033","2019-12-06","Dakar 19"
"2020-01-12T23:31:52.000-00:00","","","","2020-01-12T23:33:31.000-00:00",1,4034,4034,"2019-12-06T10:45:00.000-00:00","2019-12-06T11:00:00.000-00:00","2019-12-08T12:30:00.000-00:00",2,,,,,5,100,1,,,,,4,100,3,0,,,,0,,,,,,,,,"","MD",0,,,"d9e18236-2b22-4e7d-9d7b-6b8d9a040ec9","2020-01-12T23:35:29",,,12,"12_01_4034","2019-12-06","Dakar 19"
"2020-01-12T23:33:31.000-00:00","","","","2020-01-12T23:35:23.000-00:00",1,4035,4035,"2019-12-06T10:50:00.000-00:00","2019-12-06T11:00:00.000-00:00","2019-12-08T12:30:00.000-00:00",2,,,,,5,100,3,0,,,,4,100,3,0,,,,0,,,,,,,,,"","MD",0,,,"5a273c17-c320-43db-81b2-7636f9cef436","2020-01-12T23:35:29",,,12,"12_01_4035","2019-12-06","Dakar 19"
