"city","sample_type","pop","sum","a3","a2","a1","a0"
"Lusaka","Bathing Water","Adults",986,0.45841784989858,0.432048681541582,0.0993914807302231,0.0101419878296146
"Maputo","Bathing Water","Adults",0,,,,
"Siem Reap","Bathing Water","Adults",0,,,,
"Vellore","Bathing Water","Adults",0,,,,
"Accra","Street Food","Adults",440,0.302272727272727,0.222727272727273,0.336363636363636,0.138636363636364
"Atlanta","Street Food","Adults",0,,,,
"Dakar","Street Food","Adults",955,0.278534031413613,0.183246073298429,0.307853403141361,0.230366492146597
"Dhaka","Street Food","Adults",1717,0.21432731508445,0.153756552125801,0.346534653465347,0.285381479324403
"Kampala","Street Food","Adults",749,0.221628838451268,0.401869158878505,0.2630173564753,0.113484646194927
"Kumasi","Street Food","Adults",958,0.481210855949896,0.178496868475992,0.244258872651357,0.0960334029227557
"Lusaka","Street Food","Adults",957,0.225705329153605,0.126436781609195,0.310344827586207,0.337513061650993
"Maputo","Street Food","Adults",0,,,,
"Siem Reap","Street Food","Adults",0,,,,
"Vellore","Street Food","Adults",0,,,,
"Accra","Open Drain Water","Children",1295,0.220849420849421,0.126640926640927,0.227027027027027,0.425482625482625
"Atlanta","Open Drain Water","Children",0,,,,
"Dakar","Open Drain Water","Children",942,0.354564755838641,0.0774946921443737,0.121019108280255,0.44692144373673
"Dhaka","Open Drain Water","Children",1548,0.470284237726098,0.135012919896641,0.127260981912145,0.267441860465116
"Kampala","Open Drain Water","Children",719,0.301808066759388,0.168289290681502,0.208623087621697,0.321279554937413
"Kumasi","Open Drain Water","Children",840,0.478571428571429,0.120238095238095,0.172619047619048,0.228571428571429
"Lusaka","Open Drain Water","Children",795,0.217610062893082,0.0968553459119497,0.207547169811321,0.477987421383648
"Maputo","Open Drain Water","Children",91,0.10989010989011,0.043956043956044,0.0659340659340659,0.78021978021978
"Siem Reap","Open Drain Water","Children",319,0.0219435736677116,0.0156739811912226,0.213166144200627,0.749216300940439
"Vellore","Open Drain Water","Children",376,0.13563829787234,0.11968085106383,0.425531914893617,0.319148936170213
"Accra","Raw Produce","Children",1344,0.33110119047619,0.257440476190476,0.334077380952381,0.0773809523809524
"Atlanta","Raw Produce","Children",18,0.333333333333333,0.0555555555555556,0.611111111111111,0
"Dakar","Raw Produce","Children",1048,0.228053435114504,0.168893129770992,0.470419847328244,0.13263358778626
